ID,TITLE,YEAR,SORTED BY
tm100267,Alice in Wonderland,2010,IMDB_SCORE
tm1445492,The Antisocial Network: Memes to Mayhem,2024,IMDB_SCORE
tm1368978,The Secret Weapon,2021,IMDB_SCORE
tm37715,Helter Skelter,2012,IMDB_SCORE
tm1434941,Eden,2025,IMDB_SCORE
tm1479183,Bionic,2024,TMDB_POPULARITY
tm432142,Sub Rosa,2014,TMDB_POPULARITY
tm1477047,Colors of Evil: Red,2024,IMDB_SCORE
tm1338753,How to Have Sex,2023,IMDB_SCORE
tm328160,Unsane,2018,IMDB_SCORE
tm834200,Sri Asih,2022,TMDB_POPULARITY
tm1230271,Borders of Love,2022,TMDB_POPULARITY
tm1527170,Blitz,2024,TMDB_POPULARITY
tm40319,Savages,2012,IMDB_SCORE
tm209528,Valerian and the City of a Thousand Planets,2017,IMDB_SCORE
ts452122,Investigation Alien,2024,IMDB_SCORE
tm148548,The Time Traveler's Wife,2009,TMDB_POPULARITY
tm432732,Curiosa,2019,TMDB_POPULARITY
tm56463,Sex and Lucía,2001,TMDB_POPULARITY
tm1472770,Everybody Loves Touda,2024,IMDB_SCORE
tm26026,She's the Man,2006,IMDB_SCORE
tm1445240,Your Monster,2024,IMDB_SCORE
tm159901,Miss Congeniality 2: Armed and Fabulous,2005,TMDB_POPULARITY
tm88738,Closer,2004,TMDB_POPULARITY
tm176490,The Skeleton Key,2005,TMDB_POPULARITY
tm1394250,Munjya,2024,IMDB_SCORE
tm1418816,Back to Black,2024,IMDB_SCORE
tm152732,The Rebound,2009,IMDB_SCORE
tm1568811,Hot Milk,2025,TMDB_POPULARITY
tm175425,Adore,2013,TMDB_POPULARITY
tm13745,Pretty Baby,1978,TMDB_POPULARITY
tm271314,Antiporno,2017,IMDB_SCORE
tm113562,Dating the Enemy,1996,IMDB_SCORE
tm1325511,Napoleon,2023,IMDB_SCORE
tm244178,Terminal,2018,TMDB_POPULARITY
tm123038,The Story of O,1975,TMDB_POPULARITY
tm1573857,La Dolce Villa,2025,TMDB_POPULARITY
tm1509112,Freedom,2024,TMDB_POPULARITY
tm1541281,Queen of the Ring,2025,IMDB_SCORE
tm159220,Under the Skin,2014,IMDB_SCORE
tm156129,Two Night Stand,2014,IMDB_SCORE
tm106322,Ken Park,2003,TMDB_POPULARITY
tm322029,Happy Death Day,2017,TMDB_POPULARITY
tm1477321,The Seed of the Sacred Fig,2024,TMDB_POPULARITY
tm99672,Bedevilled,2010,TMDB_POPULARITY
